Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1742306757.3025644,2,1742306757,298265250,gps,0,1,-19.86950974333333,-43.96414736166666,809.0020141601562,53.30460272676851,0.0,0.0,0.0,37.29544746244051,0.0,0.0,0.0,415.75207510986365,1
1742306758.3052888,3,1742306758,302550533,gps,0,1,-19.86950974,-43.964147475,808.969970703125,53.30460272676851,0.0,0.0,0.0,37.29544746244051,0.0,0.0,0.0,415.8744346860658,1
1742306759.3072624,4,1742306759,305145018,gps,-1,1,-19.869509760000003,-43.964147575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306760.3095386,5,1742306760,307101141,gps,-1,1,-19.869509941666667,-43.96414754166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306761.3120174,6,1742306761,309352291,gps,0,1,-19.869509773333334,-43.96414786666666,808.7750244140625,53.30460272676851,0.0,0.0,0.0,37.307661576782266,0.0,0.0,0.0,416.28240401879884,1
1742306762.31399,7,1742306762,311944800,gps,0,1,-19.869509479999998,-43.96414814833334,808.6649780273438,53.30460272676851,0.0,0.0,0.0,37.307661576782266,0.0,0.0,0.0,416.4456321851503,1
1742306763.3164432,8,1742306763,313943581,gps,0,1,-19.869509141666665,-43.96414840333333,808.5360107421875,53.30460272676851,0.0,0.0,0.0,37.307661576782266,0.0,0.0,0.0,416.5680937713623,1
1742306764.3207495,9,1742306764,316337821,gps,0,1,-19.869508871666667,-43.96414860833333,808.3989868164062,53.30460272676851,0.0,0.0,0.0,37.307661576782266,0.0,0.0,0.0,416.69057336068727,1
1742306765.3233204,10,1742306765,320349343,gps,0,1,-19.869508443333334,-43.96414892666667,808.2839965820312,53.30460272676851,0.0,0.0,0.0,37.31988351683049,0.0,0.0,0.0,416.8538815230713,1
1742306766.3258572,11,1742306766,323298676,gps,0,1,-19.869508146666664,-43.96414915833334,808.1939697265625,53.29000278472904,0.0,0.0,0.0,37.31988351683049,0.0,0.0,0.0,416.97640311584473,1
1742306767.3288515,12,1742306767,325677052,gps,0,1,-19.869507733333332,-43.96414951,808.0770263671875,53.29000278472904,0.0,0.0,0.0,37.31988351683049,0.0,0.0,0.0,417.09894271173107,1
