Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1742306965.3786085,1,1742306965,376530512,gps,0,1,-19.869500010000003,-43.96415008333334,806.1240234375,22.8713510151465,0.0,0.0,0.0,16.548626576019387,0.0,0.0,0.0,154.05776028772016,1
1742306966.3810146,2,1742306966,378601500,gps,0,1,-19.86950252,-43.96415451833333,806.1019897460938,30.477022616280237,0.0,0.0,0.0,30.51678522696625,0.0,0.0,0.0,229.2680112365715,1
1742306967.3828492,3,1742306967,380887686,gps,0,1,-19.869502425,-43.964154410000006,806.1129760742188,30.477022616280237,0.0,0.0,0.0,30.51678522696625,0.0,0.0,0.0,229.34980756199457,1
1742306968.388161,4,1742306968,382680931,gps,0,1,-19.86950222333333,-43.96415407333334,806.1079711914062,30.477022616280237,0.0,0.0,0.0,30.52672729533606,0.0,0.0,0.0,229.40434655044464,1
1742306969.3913715,5,1742306969,388604852,gps,0,1,-19.86950383666667,-43.96415223166667,806.0750122070312,22.8713510151465,0.0,0.0,0.0,16.548626576019387,0.0,0.0,0.0,154.2564018951416,1
1742306970.3943748,6,1742306970,391176561,gps,0,1,-19.869506851666664,-43.964150211666656,806.031982421875,22.8713510151465,0.0,0.0,0.0,16.548626576019387,0.0,0.0,0.0,154.31603355005882,1
1742306971.3970628,7,1742306971,394246528,gps,0,1,-19.869508890000002,-43.964149418333335,806.0380249023438,22.8713510151465,0.0,0.0,0.0,16.55513321649414,0.0,0.0,0.0,154.37565303037354,1
1742306972.4005566,8,1742306972,396958644,gps,0,1,-19.869510731666665,-43.96415061333334,806.0609741210938,22.8713510151465,0.0,0.0,0.0,16.55513321649414,0.0,0.0,0.0,154.415421548606,1
1742306973.4035513,9,1742306973,400692849,gps,0,1,-19.869512988333334,-43.964153283333324,806.1010131835938,22.02237226247803,0.0,0.0,0.0,16.31513525941409,0.0,0.0,0.0,134.7456815352789,1
1742306974.4058325,10,1742306974,403448256,gps,0,1,-19.869515625000002,-43.96415571833333,806.0789794921875,22.02237226247803,0.0,0.0,0.0,16.31513525941409,0.0,0.0,0.0,134.78281371890625,1
1742306975.40878,11,1742306975,405677392,gps,0,1,-19.869518046666666,-43.964157969999995,806.0960083007812,22.02237226247803,0.0,0.0,0.0,16.32160354461689,0.0,0.0,0.0,134.81997316473644,1
1742306976.411026,12,1742306976,408643900,gps,0,1,-19.869520103333333,-43.964160668333335,806.0780029296875,29.315723286972798,0.0,0.0,0.0,21.550020776249085,0.0,0.0,0.0,176.7995552882212,1
1742306977.4139905,13,1742306977,411018698,gps,0,1,-19.869522141666668,-43.964163453333335,806.0599975585938,22.02237226247803,0.0,0.0,0.0,16.32160354461689,0.0,0.0,0.0,134.8942852687842,1
1742306978.416617,14,1742306978,414112096,gps,0,1,-19.869524338333335,-43.964165935,806.0490112304688,22.02237226247803,0.0,0.0,0.0,16.32160354461689,0.0,0.0,0.0,134.9314600766602,1
